content
akun gopay saya diblokir
lambat sekali sekarang ini bos aplikasi gojek tidak seperti dulu
kenapa sih dari kemarin saya buka aplikasi gojek malah keluar sendiri terus saya kasih bintang 2 dulu kalo sudah normal saya kasih bintang 7
baru download gojek dan handphone baru terus diisi ulang gopay transaksi di alfamart transaksi diblok laporan di pusat bantuan nggak jelas yang ditanyakan apa jawaban lain lama gojek dikelola tokopedia udah menyimpang apa gojek anak bangsa seperti dulu atau punya tokopedia
mantap
bagus
coba dulu
oke
gimana ini kak pin saya salah terus padahal sudah diubah masih salah
biar aman kamu tidak bisa pakai gojek jadi saya uninstal biar aman
kumpulan pengendara sampah
makin lama gojek makin gak jelas susah banget dapet pengendara buat gofood ongkos kirimnya juga mahal banget mohon diperbaiki
oke mantap
verry good
aplikasi anjing makin lama main gak jelas harus aplikasi ini lagi mending pake aplikasi lain lebih akurat
misi dari gojek jago gak jelas syarat penyelesaiannya padahal sudah jelas selesaikan misi dengan membeli voucher gpc 50k tapi masih gak dianggap belum selesai 
untuk sekarang aplikasinya good job dan banyakin lagi ya promo nya 
mantap
pelayanannya bagus
gak jelas
baik dan bagus
sekarang gofood gak pernah ada promo ongkos kirimnya makin mahal aja
gojek akhir ini menjengkelkan pengendaranya suka membatalkan seenaknya
bintang 1  ikut yang lain
oke
kesenangan yang luar biasa
bagus banget sumpah wajib unduh
bagus
kebanyakan pembaruan
setelah meluncur aplikasi shopeefood gofood jadi agak ribet semakin mahal banyak biaya tambahannya apakah ini salah satu strategi marketing dari gojek biar kita kita order via shopeefood ya
oke
bagus bintang 5
lokasi harus cepat diperbarui
gojek oke
payah jarang ada voucher semenjak bukan pak nadiem lagi
bagus
bagus
oke
terus tingkatkan layanan gojek banyakin promonya banyakin cashback nya
bagus
banyak maling dari driver gosend kurir sialan cuma titip paket hp seharga 17 juta aja dibawa kabur udah komplain ke pelayanan pelanggan dijawab gak tau siapa identitas kurir aneh banget lu punya platform dan ini udah 2 hari belum ada respon lagi balikin duit gua dan lebih selektif untuk menerima calon pengendara jangan calon maling diterima
baik
bagus
pengendara untuk area malang tolong ditambah musim hujan pesan berkali-kali tidak dapat pengendara terus bikin kesal
bagus banyak promo
ini aplikasi kenapa masa pakai kuota data gak bisa digunakan harus pakai wifi emang di semua tempat ada wifi aneh banget aplikasi
oke
gojek sangat membantu aktifitas kami
baik
bebas macet pakai gojek
bagus sekali aplikasi ini
gojek sekarang sepi pengendara
orderan cepat cepat sampe tidak nyasar
kecewa dengan gofood sekarang tidak bisa lagi pakai dua voucer sekaligus voucer aplikasi voucer resto jadinya tidak tertarik lagi untuk naikin go club berharap aplikasi bisa kembali seperti dulu
aplikasi gak bisa di install
bagus
mari kita gagal bayar pinjaman online supaya bangkrut supaya indonesia bebas riba
maaf gue beri bintang dua karena kolom rokok tidak ada setelah di tingkatkan
baik
sangat baik
bagus banget buat isi ulang di permianan dan aman lagi tanpa halangan
mantap
semoga selalu menjaga protokol kesehatan dan memberi promo terus selalu mengutamakan keselamatan dalam mengemudi
dikurangin lagi potongan untuk pengendara sama restonya ya kasian pembeli
rute gofoodnya dijauhin biar biaya antarnya nambah makin lama makin mahal dan gak ada diskon error sering banget customer service lama
ok
bagus
gofood saya sudah tidak bisa dipakai dua minggu ini katanya ada pemakaian yang tidak biasa padahal saya juga tidak pernah memberi bintang kurang dari lima sama sekali tidak pernah membatalakan kirain karena aplikasi sedang down tapi ya tetap saja
bermanfaat
sangat membantu dalam kehidupan sehari  hari
biaya aplikasi aja di besarkan erorr mulu tidak bisa chat dengan pengendara lah tidak bisa pesan layanan lah payah payah
catatan
aman dan sangat membantu
oke
"beri voucher dong Gojek akun lama tidak pernah dapat voucher, Gojek jangan pelit"
saya sebagai customer service dan pengemudi di customer service pesan makanan cari pengemudi yang aktif jadi lama memilih yang jauh pun tetap dipilih akhirnya lama juga dalam sehari hanya dapat satu pesanan bagaimana saya bisa menafkahi istri maaf kalau saya pindah dulu
ongkos kirimnya sangat mahal dan tidak ada promo atau voucher pakai grab saja banyak promonya
sangat baik
sangat membantu 
oke
senang banyak pengembalian dana kalau bisa promonya tetap berlanjut terus
mantap
bahwa natal dan tahun baru dua ribu dua puluh dua semua berbahagia tapi tetap laksanakan protokol kesehatan oke
semakin mahal harga tidak stabil naik sesuka hati gojek sendiri
gojek angkutan murah meriah
saya kecewa dengan gopay tidak bisa transfer ke rekening di atas jam dua puluh satu ini bukan dompet digital kalah dengan aplikasi dompet digital lain
sangat terbantu
isi ulang bisa dari semua dompet digital dengan menggunakan kode qr karena kebanyakan orang memiliki lebih dari satu dompet digital
cukup bagus
jelek
bagus sangat membantu sekali
bagus
bagus
sukses selalu untuk gojek
oke
oke
hebat
memesan pizza yang datang ojek
apkasinya bagus
aplikasi kurang baik
sangat baik
fitur aplikasinya sangat menarik
"tidak menghargai calon mitra pengemudi sudah empat kali bolak-balik ke kantor Grab Batam, dokumen sudah lengkap"
tidak ada koneksi
"tidak  bisa memesan gojek. katanya akun bermasalah. saya hanya pengguna, bukan pengemudi, tapi diberi bintang satu. sekarang aplikasinya tidak bisa dibuka, hanya satu detik lalu keluar sendiri. sudah hapus data, lalu copot pemasangan dan pasang kembali, tetap sama. lebih baik hapus saja selamanya"
baik
sangat membantu
mudah
sangat bagus
aku terharu
tetep dibutuhkan
aku bahagia sekali
"tiba-tiba aplikasi mengalami kesalahan, padahal saldo GoPay saya masih ada. sekarang mau unduh ulang pun tidak bisa"
bagus
bangga
tidak perlu dipersulit
mohon diperbaiki gangguannya. masukkan nomor yang sudah terverifikasi saja tidak bisa
baik
"sangat buruk. masa pendaftaran dokumen untuk penarikan dana sudah satu tahun belum diproses. sudah dikomplain, katanya tiga hari selesai, tapi tidak ada kelanjutannya. diprotes lagi, tidak ada tanggapan. bagaimana ini? semakin kacau. hari ini aplikasi eror, pesan kurir dari jam setengah tiga, datangnya jam lima. kasihan bapaknya. Aduh, tidak masuk akal"
"gojek pokoknya terbaik. harus pakai aplikasi ini, teman-teman. jujur, ini berdasarkan pengalaman saya menggunakan gojek. selama naik grab, baik mobil maupun motor, pelayanan terbaik hanya dari gojek. saya sudah dua tahun penuh memakai aplikasi ini. terima kasih untuk seluruh pengemudi gojek di Indonesia. kalian luar biasa"
saya sedang sedih
tidak bisa login
